Order_ID,Order_Date,Customer_ID,Product_ID,Store_ID,Employee_ID,Quantity,Unit_Price,Discount_%,GST_%,Final_Amount,Payment_Mode,Order_Status
ORD2500001,2025-11-07,C00317,P0093,S017,E0007,1,2886.85,5,18,3236.16,Net Banking,Delivered
ORD2500002,2025-08-30,C00220,P0093,S011,E0017,3,2886.85,15,18,8686.53,UPI,Delivered
ORD2500003,2025-08-04,C00323,P0063,S020,E0013,3,1162.55,5,18,3909.66,UPI,Delivered
ORD2500004,2025-07-17,C00289,P0026,S009,E0046,1,4853.36,0,18,5726.96,Net Banking,Delivered
ORD2500005,2025-12-09,C00374,P0001,S018,E0032,2,5335.48,0,18,12591.73,Cash,Delivered
ORD2500006,2026-06-17,C00386,P0069,S023,E0050,1,277.13,15,18,277.96,Cash,Delivered
ORD2500007,2026-06-16,C00001,P0039,S018,E0007,5,2811.5,0,18,16587.85,Credit Card,Delivered
ORD2500008,2026-04-08,C00092,P0087,S007,E0033,4,1890.57,10,18,8031.14,Net Banking,Delivered
ORD2500009,2026-05-07,C00061,P0004,S003,E0014,1,6832.12,10,18,7255.71,Debit Card,Delivered
ORD2500010,2025-10-12,C00207,P0042,S003,E0039,4,599.24,0,18,2828.41,UPI,Delivered
ORD2500011,2025-11-25,C00123,P0086,S012,E0032,1,6044.53,5,18,6775.92,Debit Card,Delivered
ORD2500012,2025-09-29,C00004,P0059,S011,E0045,5,478.61,20,18,2259.04,Cash,Cancelled
ORD2500013,2025-11-06,C00488,P0090,S017,E0011,4,4604.5,0,18,21733.24,Debit Card,Delivered
ORD2500014,2026-05-28,C00292,P0023,S020,E0014,1,6164.36,15,18,6182.85,Net Banking,Delivered
ORD2500015,2026-03-29,C00148,P0007,S023,E0041,5,3824.14,20,18,18049.94,Net Banking,Delivered
ORD2500016,2026-05-14,C00170,P0077,S025,E0002,1,3792.37,5,18,4251.25,Debit Card,Delivered
ORD2500017,2026-02-24,C00147,P0098,S007,E0003,3,5777.0,5,18,19428.05,Debit Card,Delivered
ORD2500018,2026-04-08,C00275,P0017,S011,E0048,4,5714.04,0,18,26970.27,Cash,Returned
ORD2500019,2025-09-25,C00078,P0018,S011,E0031,1,1395.52,15,18,1399.71,Credit Card,Delivered
ORD2500020,2026-01-18,C00195,P0097,S009,E0047,4,4988.12,20,18,18835.14,Credit Card,Delivered
ORD2500021,2025-10-27,C00217,P0020,S008,E0038,3,5416.76,0,18,19175.33,Net Banking,Delivered
ORD2500022,2026-06-27,C00031,P0019,S002,E0017,4,802.65,5,18,3599.08,UPI,Delivered
ORD2500023,2026-03-14,C00274,P0026,S005,E0042,1,4853.36,20,18,4581.57,Cash,Returned
ORD2500024,2025-09-16,C00468,P0079,S006,E0040,3,579.03,10,18,1844.79,Cash,Cancelled
ORD2500025,2026-01-03,C00076,P0001,S022,E0033,4,5335.48,0,18,25183.47,UPI,Delivered
